Anno;Codice Regione;Descrizione Regione;Codice Azienda;Tipo Azienda;Codice struttura;Subcodice;Denominazione Struttura/Stabilimento;Indirizzo;Codice Comune;Comune;Sigla Provincia;Codice tipo struttura;Descrizione tipo struttura;Codice disciplina;Descrizione disciplina;Tipo di Disciplina;N° Reparti;Posti letto degenza ordinaria;Posti letto degenza a pagamento;Posti letto Day Hospital;Posti letto Day Surgery;Totale posti letto
2018;10;PIEMONTE;203;1;10079;1;OSPEDALE DEGLI INFERMI                  ;VIA RIVALTA 29                          ;1219;RIVOLI                                  ;TO;1;Ospedale a gestione diretta;40;PSICHIATRIA                             ;ACUTI;1;10;0;0;0;10
2018;10;PIEMONTE;203;1;10079;1;OSPEDALE DEGLI INFERMI                  ;VIA RIVALTA 29                          ;1219;RIVOLI                                  ;TO;1;Ospedale a gestione diretta;43;UROLOGIA                                ;ACUTI;1;21;0;0;0;21
2018;10;PIEMONTE;203;1;10079;1;OSPEDALE DEGLI INFERMI                  ;VIA RIVALTA 29                          ;1219;RIVOLI                                  ;TO;1;Ospedale a gestione diretta;49;TERAPIA INTENSIVA                       ;ACUTI;1;4;0;0;0;4
2018;10;PIEMONTE;203;1;10079;1;OSPEDALE DEGLI INFERMI                  ;VIA RIVALTA 29                          ;1219;RIVOLI                                  ;TO;1;Ospedale a gestione diretta;50;UNITA` CORONARICA                       ;ACUTI;1;10;0;0;0;10
2018;10;PIEMONTE;203;1;10079;1;OSPEDALE DEGLI INFERMI                  ;VIA RIVALTA 29                          ;1219;RIVOLI                                  ;TO;1;Ospedale a gestione diretta;62;NEONATOLOGIA                            ;ACUTI;1;5;0;0;0;5
2018;10;PIEMONTE;203;1;10079;1;OSPEDALE DEGLI INFERMI                  ;VIA RIVALTA 29                          ;1219;RIVOLI                                  ;TO;1;Ospedale a gestione diretta;98;DAY SURGERY;ACUTI;1;0;0;0;12;12
2018;10;PIEMONTE;203;1;10079;4;OSPEDALE CIVILE DI SUSA                 ;CORSO INGHILTERRA 66                    ;1270;SUSA                                    ;TO;1;Ospedale a gestione diretta;9;CHIRURGIA GENERALE                      ;ACUTI;1;3;0;0;0;3
2018;10;PIEMONTE;203;1;10079;4;OSPEDALE CIVILE DI SUSA                 ;CORSO INGHILTERRA 66                    ;1270;SUSA                                    ;TO;1;Ospedale a gestione diretta;26;MEDICINA GENERALE                       ;ACUTI;1;26;0;4;0;30
2018;10;PIEMONTE;203;1;10079;4;OSPEDALE CIVILE DI SUSA                 ;CORSO INGHILTERRA 66                    ;1270;SUSA                                    ;TO;1;Ospedale a gestione diretta;36;ORTOPEDIA E TRAUMATOLOGIA               ;ACUTI;1;10;0;0;0;10
2018;10;PIEMONTE;203;1;10079;4;OSPEDALE CIVILE DI SUSA                 ;CORSO INGHILTERRA 66                    ;1270;SUSA                                    ;TO;1;Ospedale a gestione diretta;98;DAY SURGERY;ACUTI;1;0;0;0;6;6
2018;10;PIEMONTE;203;1;10079;5;OSPEDALE DI VENARIA                     ;PIAZZA DELL' ANNUNZIATA 4               ;1292;VENARIA REALE;TO;1;Ospedale a gestione diretta;2;DAY HOSPITAL                            ;ACUTI;1;0;0;3;0;3
2018;10;PIEMONTE;203;1;10079;5;OSPEDALE DI VENARIA                     ;PIAZZA DELL' ANNUNZIATA 4               ;1292;VENARIA REALE;TO;1;Ospedale a gestione diretta;26;MEDICINA GENERALE                       ;ACUTI;1;15;0;0;0;15
2018;10;PIEMONTE;203;1;10079;5;OSPEDALE DI VENARIA                     ;PIAZZA DELL' ANNUNZIATA 4               ;1292;VENARIA REALE;TO;1;Ospedale a gestione diretta;60;LUNGODEGENTI                            ;LUNGODEGENZA;1;15;0;0;0;15
2018;10;PIEMONTE;203;1;10614;;CASA DI CURA VILLE AUGUSTA - S.R.L.     ;VIA PINEROLO SUSA 15                    ;1038;BRUINO                                  ;TO;5.1;Casa di cura privata accreditata;56;RECUPERO E RIABILITAZIONE               ;RIABILITAZIONE;1;80;0;0;0;80
2018;10;PIEMONTE;203;1;10615;;CASA DI CURA VILLA PATRIZIA - S.R.L.    ;REGIONE GIORDA 6/8                      ;1194;PIOSSASCO                               ;TO;5.1;Casa di cura privata accreditata;56;RECUPERO E RIABILITAZIONE               ;RIABILITAZIONE;1;25;0;0;0;25
2018;10;PIEMONTE;203;1;10621;;CASA DI CURA VILLA SERENA - S.P.A.      ;VIA MAGENTA 45                          ;1194;PIOSSASCO                               ;TO;5.1;Casa di cura privata accreditata;56;RECUPERO E RIABILITAZIONE               ;RIABILITAZIONE;1;120;0;0;0;120
2018;10;PIEMONTE;203;1;10621;;CASA DI CURA VILLA SERENA - S.P.A.      ;VIA MAGENTA 45                          ;1194;PIOSSASCO                               ;TO;5.1;Casa di cura privata accreditata;60;LUNGODEGENTI                            ;LUNGODEGENZA;1;20;0;0;0;20
2018;10;PIEMONTE;203;1;10623;;VILLA PAPA GIOVANNI XXIII               ;VIA SAN GILLIO 75                       ;1189;PIANEZZA                                ;TO;5.1;Casa di cura privata accreditata;56;RECUPERO E RIABILITAZIONE               ;RIABILITAZIONE;1;145;0;0;0;145
2018;10;PIEMONTE;203;1;10646;;CASA DI CURA VILLA IRIS SRL             ;VIA PAVESE CESARE 12                    ;1189;PIANEZZA                                ;TO;5.1;Casa di cura privata accreditata;56;RECUPERO E RIABILITAZIONE               ;RIABILITAZIONE;1;49;0;0;0;49
2018;10;PIEMONTE;203;1;10646;;CASA DI CURA VILLA IRIS SRL             ;VIA PAVESE CESARE 12                    ;1189;PIANEZZA                                ;TO;5.1;Casa di cura privata accreditata;60;LUNGODEGENTI                            ;LUNGODEGENZA;1;102;0;0;0;102
2018;10;PIEMONTE;203;1;10651;;CASA DI CURA MADONNA DEI BOSCHI         ;VIA RAGAZZI DEL ' 99 1                  ;1045;BUTTIGLIERA ALTA                        ;TO;5.1;Casa di cura privata accreditata;56;RECUPERO E RIABILITAZIONE               ;RIABILITAZIONE;1;55;0;0;0;55
2018;10;PIEMONTE;204;1;10017;  ;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;1082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;2;DAY HOSPITAL                            ;ACUTI;1;0;0;1;0;1
2018;10;PIEMONTE;204;1;10017;  ;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;1082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;8;CARDIOLOGIA                             ;ACUTI;1;10;0;0;0;10
2018;10;PIEMONTE;204;1;10017;  ;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;1082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;9;CHIRURGIA GENERALE                      ;ACUTI;1;15;0;0;2;17
2018;10;PIEMONTE;204;1;10017;  ;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;1082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;26;MEDICINA GENERALE                       ;ACUTI;1;53;0;1;0;54
2018;10;PIEMONTE;204;1;10017;  ;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;1082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;29;NEFROLOGIA                              ;ACUTI;1;3;0;0;0;3
2018;10;PIEMONTE;204;1;10017;  ;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;1082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;32;NEUROLOGIA                              ;ACUTI;1;18;0;1;0;19
2018;10;PIEMONTE;204;1;10017;  ;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;1082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;36;ORTOPEDIA E TRAUMATOLOGIA               ;ACUTI;1;20;0;0;1;21
2018;10;PIEMONTE;204;1;10017;  ;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;1082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;37;OSTETRICIA E GINECOLOGIA                ;ACUTI;1;19;0;1;0;20
2018;10;PIEMONTE;204;1;10017;  ;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;1082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;38;OTORINOLARINGOIATRIA                    ;ACUTI;1;7;0;0;2;9
2018;10;PIEMONTE;204;1;10017;  ;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;1082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;39;PEDIATRIA                               ;ACUTI;1;5;0;1;0;6
2018;10;PIEMONTE;204;1;10017;  ;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;1082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;40;PSICHIATRIA                             ;ACUTI;1;6;0;0;0;6
2018;10;PIEMONTE;204;1;10017;  ;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;1082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;43;UROLOGIA                                ;ACUTI;1;4;0;0;2;6
2018;10;PIEMONTE;204;1;10017;  ;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;1082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;49;TERAPIA INTENSIVA                       ;ACUTI;1;6;0;0;0;6
2018;10;PIEMONTE;204;1;10017;  ;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;1082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;50;UNITA` CORONARICA                       ;ACUTI;1;6;0;0;0;6
2018;10;PIEMONTE;204;1;10017;  ;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;1082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;62;NEONATOLOGIA                            ;ACUTI;1;2;0;0;0;2
2018;10;PIEMONTE;204;1;10017;  ;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;1082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;64;ONCOLOGIA                               ;ACUTI;1;0;0;10;0;10
2018;10;PIEMONTE;204;1;10017;  ;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;1082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;98;DAY SURGERY;ACUTI;1;0;0;0;6;6
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;2;DAY HOSPITAL                            ;ACUTI;1;0;0;15;0;15
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;8;CARDIOLOGIA                             ;ACUTI;1;12;0;0;0;12
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;9;CHIRURGIA GENERALE                      ;ACUTI;1;23;0;0;0;23
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;26;MEDICINA GENERALE                       ;ACUTI;1;40;0;0;0;40
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;29;NEFROLOGIA                              ;ACUTI;1;7;0;0;0;7
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;32;NEUROLOGIA                              ;ACUTI;1;20;0;0;0;20
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;34;OCULISTICA                              ;ACUTI;1;2;0;0;0;2
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;36;ORTOPEDIA E TRAUMATOLOGIA               ;ACUTI;1;30;0;0;0;30
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;37;OSTETRICIA E GINECOLOGIA                ;ACUTI;1;16;0;0;0;16
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;38;OTORINOLARINGOIATRIA                    ;ACUTI;1;6;0;0;0;6
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;39;PEDIATRIA                               ;ACUTI;1;8;0;0;0;8
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;40;PSICHIATRIA                             ;ACUTI;1;13;0;0;0;13
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;43;UROLOGIA                                ;ACUTI;1;18;0;0;0;18
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;49;TERAPIA INTENSIVA                       ;ACUTI;1;6;0;0;0;6
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;50;UNITA` CORONARICA                       ;ACUTI;1;6;0;0;0;6
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;56;RECUPERO E RIABILITAZIONE               ;RIABILITAZIONE;1;20;0;0;0;20
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;62;NEONATOLOGIA                            ;ACUTI;1;4;0;0;0;4
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;67;PENSIONANTI                             ;ACUTI;1;1;0;0;1;2
2018;10;PIEMONTE;204;1;10019;1;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'  ;VIA BATTITORE 7/9                       ;1086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;98;DAY SURGERY;ACUTI;1;0;0;0;7;7
2018;10;PIEMONTE;204;1;10019;3;PRESIDIO OSPED. RIUNITO SEDE DI LANZO   ;VIA DELLA ROCCA MARCHESE 30             ;1128;LANZO TORINESE                          ;TO;1;Ospedale a gestione diretta;2;DAY HOSPITAL                            ;ACUTI;1;0;0;12;0;12
2018;10;PIEMONTE;204;1;10019;3;PRESIDIO OSPED. RIUNITO SEDE DI LANZO   ;VIA DELLA ROCCA MARCHESE 30             ;1128;LANZO TORINESE                          ;TO;1;Ospedale a gestione diretta;26;MEDICINA GENERALE                       ;ACUTI;1;48;0;0;0;48
2018;10;PIEMONTE;204;1;10019;3;PRESIDIO OSPED. RIUNITO SEDE DI LANZO   ;VIA DELLA ROCCA MARCHESE 30             ;1128;LANZO TORINESE                          ;TO;1;Ospedale a gestione diretta;56;RECUPERO E RIABILITAZIONE               ;RIABILITAZIONE;1;10;0;0;0;10
2018;10;PIEMONTE;204;1;10019;3;PRESIDIO OSPED. RIUNITO SEDE DI LANZO   ;VIA DELLA ROCCA MARCHESE 30             ;1128;LANZO TORINESE                          ;TO;1;Ospedale a gestione diretta;60;LUNGODEGENTI                            ;LUNGODEGENZA;1;25;0;0;0;25
2018;10;PIEMONTE;204;1;10019;3;PRESIDIO OSPED. RIUNITO SEDE DI LANZO   ;VIA DELLA ROCCA MARCHESE 30             ;1128;LANZO TORINESE                          ;TO;1;Ospedale a gestione diretta;98;DAY SURGERY;ACUTI;1;0;0;0;7;7
2018;10;PIEMONTE;204;1;10023;1;OSPEDALE CIVILE DI IVREA                ;PIAZZA DELLA CREDENZA 2                 ;1125;IVREA                                   ;TO;1;Ospedale a gestione diretta;8;CARDIOLOGIA                             ;ACUTI;1;16;0;1;0;17
2018;10;PIEMONTE;204;1;10023;1;OSPEDALE CIVILE DI IVREA                ;PIAZZA DELLA CREDENZA 2                 ;1125;IVREA                                   ;TO;1;Ospedale a gestione diretta;9;CHIRURGIA GENERALE                      ;ACUTI;1;26;0;0;2;28
2018;10;PIEMONTE;204;1;10023;1;OSPEDALE CIVILE DI IVREA                ;PIAZZA DELLA CREDENZA 2                 ;1125;IVREA                                   ;TO;1;Ospedale a gestione diretta;18;EMATOLOGIA                              ;ACUTI;1;0;0;2;0;2
2018;10;PIEMONTE;204;1;10023;1;OSPEDALE CIVILE DI IVREA                ;PIAZZA DELLA CREDENZA 2                 ;1125;IVREA                                   ;TO;1;Ospedale a gestione diretta;19;MALATTIE ENDOCRINE DEL RICAMBIO E NUTRIZ;ACUTI;1;0;0;1;0;1
2018;10;PIEMONTE;204;1;10023;1;OSPEDALE CIVILE DI IVREA                ;PIAZZA DELLA CREDENZA 2                 ;1125;IVREA                                   ;TO;1;Ospedale a gestione diretta;26;MEDICINA GENERALE                       ;ACUTI;1;41;0;1;0;42
2018;10;PIEMONTE;204;1;10023;1;OSPEDALE CIVILE DI IVREA                ;PIAZZA DELLA CREDENZA 2                 ;1125;IVREA                                   ;TO;1;Ospedale a gestione diretta;29;NEFROLOGIA                              ;ACUTI;1;6;0;1;0;7
2018;10;PIEMONTE;204;1;10023;1;OSPEDALE CIVILE DI IVREA                ;PIAZZA DELLA CREDENZA 2                 ;1125;IVREA                                   ;TO;1;Ospedale a gestione diretta;32;NEUROLOGIA                              ;ACUTI;1;22;0;1;0;23
2018;10;PIEMONTE;204;1;10023;1;OSPEDALE CIVILE DI IVREA                ;PIAZZA DELLA CREDENZA 2                 ;1125;IVREA                                   ;TO;1;Ospedale a gestione diretta;33;NEUROPSICHIATRIA INFANTILE              ;ACUTI;1;0;0;1;0;1
2018;10;PIEMONTE;204;1;10023;1;OSPEDALE CIVILE DI IVREA                ;PIAZZA DELLA CREDENZA 2                 ;1125;IVREA                                   ;TO;1;Ospedale a gestione diretta;34;OCULISTICA                              ;ACUTI;1;6;0;0;1;7
2018;10;PIEMONTE;204;1;10023;1;OSPEDALE CIVILE DI IVREA                ;PIAZZA DELLA CREDENZA 2                 ;1125;IVREA                                   ;TO;1;Ospedale a gestione diretta;36;ORTOPEDIA E TRAUMATOLOGIA               ;ACUTI;1;25;0;0;2;27
2018;10;PIEMONTE;204;1;10023;1;OSPEDALE CIVILE DI IVREA                ;PIAZZA DELLA CREDENZA 2                 ;1125;IVREA                                   ;TO;1;Ospedale a gestione diretta;37;OSTETRICIA E GINECOLOGIA                ;ACUTI;1;22;0;2;0;24
